RUN;ITERATION;RMSD_vs_LF;RMSD_vs_LB
1;1;0.8190;6.4311
1;2;1.3209;5.9014
1;3;1.8631;5.3921
1;4;2.3834;4.9290
1;5;2.8893;4.4687
1;6;3.3780;4.0251
1;7;3.9383;3.5721
1;8;4.4068;3.1863
1;9;4.8398;2.7923
1;10;5.2371;2.4332
1;11;5.5836;2.2073
1;12;5.9323;1.9866
1;13;6.0708;1.7991
1;14;6.2289;1.7001
1;15;6.4219;1.5544
1;16;6.5545;1.5037
1;17;6.6937;1.4424
1;18;6.6710;1.4008
1;19;6.6269;1.3687
1;20;6.7050;1.3670
1;21;6.6181;1.3628
1;22;6.6413;1.3620
1;23;6.5948;1.3644
1;24;6.6410;1.3744
1;25;6.5710;1.3692
1;26;6.6571;1.2644
1;27;6.6064;1.2690
1;28;6.6370;1.1757
1;29;6.7709;1.1405
1;30;6.6727;1.1622
